"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 15 23:52:31 MSK 2020","Tue Dec 15 23:52:33 MSK 2020","2810","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer5]",""
"passed","Tue Dec 15 23:52:14 MSK 2020","Tue Dec 15 23:52:17 MSK 2020","3271","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer2]",""
"passed","Tue Dec 15 23:53:37 MSK 2020","Tue Dec 15 23:53:50 MSK 2020","12396","","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"passed","Tue Dec 15 23:53:29 MSK 2020","Tue Dec 15 23:53:30 MSK 2020","1444","","test_product_page","TestProductPage","","","test_guest_should_see_login_link_on_product_page",""
"passed","Tue Dec 15 23:51:47 MSK 2020","Tue Dec 15 23:51:59 MSK 2020","12368","","test_main_page","TestMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Tue Dec 15 23:51:38 MSK 2020","Tue Dec 15 23:51:40 MSK 2020","1822","","test_main_page","TestMainPage","","","test_guest_can_go_to_login_page",""
"skipped","Tue Dec 15 23:52:58 MSK 2020","Tue Dec 15 23:53:02 MSK 2020","4048","","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Tue Dec 15 23:52:47 MSK 2020","Tue Dec 15 23:52:50 MSK 2020","3172","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer8]",""
"passed","Tue Dec 15 23:53:58 MSK 2020","Tue Dec 15 23:54:10 MSK 2020","11878","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message",""
"passed","Tue Dec 15 23:52:53 MSK 2020","Tue Dec 15 23:52:56 MSK 2020","3241","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer9]",""
"passed","Tue Dec 15 23:52:19 MSK 2020","Tue Dec 15 23:52:23 MSK 2020","3330","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer3]",""
"passed","Tue Dec 15 23:51:42 MSK 2020","Tue Dec 15 23:51:44 MSK 2020","1782","","test_main_page","TestMainPage","","","test_guest_should_see_login_link",""
"passed","Tue Dec 15 23:53:05 MSK 2020","Tue Dec 15 23:53:17 MSK 2020","11940","","test_product_page","TestProductPage","","","test_quest_cant_see_success_message",""
"passed","Tue Dec 15 23:52:06 MSK 2020","Tue Dec 15 23:52:11 MSK 2020","4832","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer1]",""
"passed","Tue Dec 15 23:52:01 MSK 2020","Tue Dec 15 23:52:04 MSK 2020","2609","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer0]",""
"passed","Tue Dec 15 23:54:18 MSK 2020","Tue Dec 15 23:54:22 MSK 2020","3777","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
"skipped","Tue Dec 15 23:53:19 MSK 2020","Tue Dec 15 23:53:26 MSK 2020","7218","","test_product_page","TestProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
"passed","Tue Dec 15 23:52:36 MSK 2020","Tue Dec 15 23:52:39 MSK 2020","3085","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer6]",""
"skipped","Tue Dec 15 23:52:41 MSK 2020","Tue Dec 15 23:52:45 MSK 2020","3235","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer7]",""
"passed","Tue Dec 15 23:52:25 MSK 2020","Tue Dec 15 23:52:28 MSK 2020","2958","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer4]",""
"passed","Tue Dec 15 23:53:33 MSK 2020","Tue Dec 15 23:53:35 MSK 2020","2006","","test_product_page","TestProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
